objectid,filename,youtubeid,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude
BallCreek-StreamCrossing-Elkfacescam,BallCreek-StreamCrossing-Elkfacescam.jpg,,Elkfacescam,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003.jpg,,IMAG0003.jpg,,,,,Salmo-Priest Critical Habitat;CriticalHabitat Ridgeline South,,,image/jpg,48.937107,-117.010435
SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0006,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0006.jpg,,IMAG0006.jpg,,,,,Salmo-Priest Critical Habitat;CriticalHabitat Ridgeline South,,,image/jpg,48.937107,-117.010435
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0191,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0191.jpg,,IMAG0191.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0193,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0193.jpg,,IMAG0193.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0195,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0195.jpg,,IMAG0195.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0197,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0197.jpg,,IMAG0197.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0199,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0199.jpg,,IMAG0199.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0201,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0201.jpg,,IMAG0201.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0203,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0203.jpg,,IMAG0203.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
